username,created_at,full_text,cleaned_text,create_at
obas848,2025-01-01 11:34:01,"Ya kan naiknya cuma 1%. Misal nih baju 500K. Katakan biaya produksinya juga 500rb, maka naik total harga produksi cuma 5k. jadi total 505K. nah dari 505K PPn Nya 12% cuma naik 11K",kan naik cuma 1 misal nih baju 500k kata biaya produksi 500rb naik total harga produksi cuma 5k jadi total 505k nah 505k ppn nya 12 cuma naik 11k,
rasyadstbatuah,2025-01-01 11:34:01,missleading si pandji soal PpN😅,missleading si pandji soal ppn,
user5457725811911,2025-01-01 11:34:01,malah senang PPN naik tambah ngirit,malah senang ppn naik tambah ngirit,
gandrung.ytr,2025-01-01 11:34:01,Kenaikan memang tetap memberatkan. Tapi sistem pemungutan PPN gak seperti yang disanpaikan Panji ini,naik memang tetap berat sistem mungut ppn tidak seperti disanpaikan panji,
efb_mania,2025-01-01 11:34:01,bensin aja masih subsidi gimana mau kena PPN 🥱,bensin aja subsidi bagaimana mau kena ppn,
mochi20226,2025-01-01 11:34:01,1% kenaikan PPN itu sama dengan 9% kenaikan harga barang kata Prof. Renaldi Khasali,1 naik ppn sama 9 naik harga barang kata prof renaldi khasali,
indosukses92,2025-01-01 11:34:01,Transportasi apa dlu nih ? Kalau transum gak kena PpN,transportasi apa dulu nih kalau transum tidak kena ppn,
bang.mamat915,2025-01-01 11:34:01,ya kagak lah. kalau b2b itu ppn gk ngaruh ke nilai barang. karena ppn bisa di kreditkan. jadi dari produksi sampai distribusi ppn gk terakumulasi,lah kalau b2b ppn ngaruh nilai barang ppn di kredit jadi produksi distribusi ppn tidak akumulasi,
esus_11,2025-01-01 11:34:01,"Mas pandji, saya serius nanya nih. Emang ppn diindonesia ngga bisa di claim yah sama supplier yg ditengah? Misal company a beli barang sama company b 11.2jt termasuk ppn. Pas dia jual",mas pandji serius nanya nih emang ppn indonesia tidak bisa claim yah sama supplier tengah misal company a beli barang sama company b 11 2jt masuk ppn pas jual,
bangm1n,2025-01-01 11:34:01,"pendapatan negara jd semakin kecil karena pabrik bisa jual product lgsg ke pembeli, ga melalui rantai ekonomi, jd ppn nya ga jalan",dapat negara jd makin kecil pabrik jual product lgsg beli tidak lalu rantai ekonomi jd ppn nya tidak jalan,
djuns.co,2025-01-01 11:34:01,"Bang, knp sy krg ngerti. Kan ppn yg skrg tuh 11% nih, tp knp abang cuma hitung 1% aja dr 500k itu…bisa dijelaskan sesuai dgn rumus hitungannya begitu spy bisa ngerti begitu",bang knp sy krg ngerti kan ppn skrg tuh 11 nih tp knp abang cuma hitung 1 aja dr 500k jelas sesuai rumus hitung spy bisa ngerti,
waluyowaluyo596,2025-01-01 11:34:01,"pajak yg adil itu hanya pph, kalau ppn semua akan terkena baik yg miskin maupun yg kaya.",pajak adil hanya pajak_penghasilan kalau ppn semua kena baik miskin maupun kaya,
izwin1897,2025-01-01 11:34:01,termasuk bahan baku kena ppn 12%,masuk bahan baku kena ppn 12,
user61054622688825,2025-01-01 11:34:01,#tolakPPN12%,,
sirluke_spendubar,2025-01-01 11:34:01,tenang bapak ibu..kenaikan pajak PPN itu hanya dikhususkan utk warga 58% ...jdi kita yg ngga pilih nggak ngerasain dampaknya,tenang bapak ibu naik pajak ppn hanya khusus utk warga 58 jadi yang tidak pilih ngerasain dampak,
notification7595,2025-01-01 11:34:01,"fyi PPN punya sifat non kumulatif, jadi yang kena pajak itu nilai tambahnya",informasi ppn punya sifat non kumulatif jadi kena pajak nilai tambah,
hartadinata85,2025-01-01 11:34:01,"proses barang dari pabrik ke distributor ke grosir ke Agen ke Toko ke pembeli, minimal ke 5x PPN, akibatnya barang jadi mahal",proses barang pabrik distributor grosir agen toko beli minimal 5x ppn akibat barang jadi mahal,
sarjana_muda1122,2025-01-01 11:34:01,"produsen beli bhn baku kena ppn 12℅, mnghliklankan kena 12℅, saat di angkut distributor/ritel kena 12℅, smp d konsumen kena 12℅. hitung aj 1 produk kena ppn brp x.",produsen beli bhn baku kena ppn 12 mnghliklankan kena 12 angkut distributor ritel kena 12 smp di konsumen kena 12 hitung 1 produk kena ppn brp x,
ahmadaaarrrr,2025-01-01 11:34:01,bro lupa ga jelasin mekanisme PK PM si PPN,saudara laki lupa tidak jelasin mekanisme pk pm si ppn,
abizar.kidsware,2025-01-01 11:34:01,rawnya aja kena ppn.,rawnya aja kena ppn,
yasaman_10,2025-01-01 11:34:01,"pokok nya kena semua ppn ,",pokok nya kena semua ppn,
jrmebel,2025-01-01 11:34:01,#tolakppn12persen,,
shut87678,2025-01-01 11:34:01,bukannya BBM tidak dikenakan PPN? 🤔,bukan bbm kena ppn,
idatiurma,2025-01-01 11:34:01,Bener .. tolak ppn 12 %,bener tolak ppn 12,
han29855,2025-01-01 11:34:01,"Selain tiap item /proses ada kenaikan ppn, ada faktor "" aji mumpung pengusaha / produsen juga, sekalian dinaikin .",tiap hitam proses naik ppn faktor aji mumpung usaha produsen sekali dinaikin,
nadanasa39,2025-01-01 11:34:01,ppn dan anak2 nya kok mirip pajak y berkali lipat ya,ppn anak2 nya kok mirip pajak y kali lipat,
harmadhani.adi,2025-01-01 11:34:01,Ada proses namanya PK PM jadi pada akhirnya PPn hanya akan kena ke pengguna terakhir.,proses nama pk pm jadi akhir ppn akan kena guna akhir,
conslinux,2025-01-01 11:34:01,"Harga barang naik, belum termasuk ppn pembelian.. Naiknya double kill",harga barang naik masuk ppn beli naik double kill,
user8671414280191,2025-01-01 11:34:01,cuma people power yg mampu batalkan ppn naik 12℅,cuma people power mampu batal ppn naik 12,
alinabcd8,2025-01-01 11:34:01,#TolakPPN12Persen,,
septiantiseptic,2025-01-01 11:34:01,Mas pandji mgkn blm paham prinsip pk-pm ppn jd dikira kenanya bakal di tiap chain,mas pandji mgkn blm paham prinsip pk pm ppn jd kira kena bakal tiap chain,
michaelscott777,2025-01-01 11:34:01,"gue sih hanya penasaran kenapa PPN 12% disaat ekonomi yg relatif lagi stagnan bahkan menurun secara global, teorinya kalau ekonomi turun biasanya tuh pemerintah gencar kasih kebijakan expansionary",gue sih penasaran ppn 12 saat ekonomi relatif stagnan bahkan turun global teori kalau ekonomi turun biasa tuh perintah gencar kasih kebijakan expansionary,
user81376161167273,2025-01-01 11:34:01,semua kena ppn gk ada tuh barang mewa aja bahkan harga singkong pun kena ppn juga,semua kena ppn ada tuh barang mewa aja bahkan harga singkong kena ppn,
nando.str,2025-01-01 11:34:01,"orang tuh cuma liat selisih 1%, banyak orang ga sadar klo dihitung sebenrnya PPn naik 9%",orang tuh cuma liat selisih 1 banyak orang tidak sadar klo hitung sebenrnya ppn naik 9,
mamankwibi,2025-01-01 11:34:01,"$ 1 = Rp. 16.279 per hari ini, lalu di gempur 12% ppn di listrik, ya pasti pada naik lahh, pabrik, jasa, logistik, transportasi, komunikasi dan perkantoran kan listrik besar di direct dan indirect nya. produk kan butuh bahan baku dan energi listrik untuk mengolah. kata kadin semua barang naik imbas rupiah anjlok dan listrik naik krn ppn 12% lalu krn produksi bbm import dan butuh listrik besar untuk pengolahan, jd naik jg bbm nya. dan itu rangkaian kenaikan berimbas sm semua barang dan jasa. hampir amat sangat jarang ada barang dan jasa yg tidak membutuhkan komponen bahan baku, proses, jasa, transportasi, listrik dan logistik. misal beras biasa pun butuh pupuk pabrikan, pengolahan dengan listrik atau solar Genset, dan distribusi menggunakan truk.",1 rp 16 279 per hari lalu gempur 12 ppn listrik pasti naik lahh pabrik jasa logistik transportasi komunikasi kantor kan listrik besar direct indirect nya produk kan butuh bahan baku energi listrik olah kata kadin semua barang naik imbas rupiah anjlok listrik naik krn ppn 12 lalu krn produksi bbm import butuh listrik besar olah jd naik jg bbm nya itu rangkai naik imbas sm semua barang jasa hampir sangat jarang barang jasa tidak butuh komponen bahan baku proses jasa transportasi listrik logistik misal beras biasa butuh pupuk pabrikan olah listrik solar genset distribusi guna truk,
dasa0769,2025-01-01 11:34:01,Kaum 58% ga ngerti PPn 12% taunya oke gas oke gas joget😂😜,kaum 58 tidak ngerti ppn 12 tau oke gas oke gas joget,
kangbewoks,2025-01-01 11:34:01,"biar hitungnya mudah gini saja kita pakai analogi dari 500.000 biaya produksi kena ppn 12% jadi 560.000, sampai ke tangan ke 2 misal dari pengepul daerah ke pengepul jakarta naik lagi 12% misal 560rb plus untungmisal jadi 570rb kena 12% lagi jadi 638.400, lalu diterima reseller di jakarta ambil untung 5rb : jadi 643.400 di bulatin jadi 645.000 ketangan konsumen",biar hitung mudah gin kita pakai analogi 500 000 biaya produksi kena ppn 12 jadi 560 000 tangan 2 misal kepul daerah ke kepul jakarta naik 12 misal 560rb plus untungmisal jadi 570rb kena 12 jadi 638 400 lalu terima reseller jakarta ambil untung 5rb jadi 643 400 bulatin jadi 645 000 ketang konsumen,
ekaprasetia287,2025-01-01 11:34:01,"negara scandinavian dan german itu pajak gaji alias pajak penghasilan PPh yg besar, bukan pajak PPN. nah di indnsa ini adalah pajak PPN yg naek dan mempengaruhi byk kehidupan sehari2 warga. jdi PPN harus kcl",negara scandinavian german pajak gaji alias pajak penghasilan pajak_penghasilan besar bukan pajak ppn nah indnsa adalah pajak ppn naek pengaruh banyak hidup sehari2 warga jadi ppn kcl,
kodokkoplok,2025-01-01 11:34:01,sya dh usulin am bpk presiden ppn suruh naik 20% knp krng jdi 12% sih,sya dh usulin am bpk presiden ppn suruh naik 20 knp krng jadi 12 sih,
drivewanto,2025-01-01 11:34:01,bahkan PPN nya sendiri juga kena PPN lagi😂😂,bahkan ppn nya sendiri kena ppn,
rajapropertiserpong,2025-01-01 11:34:01,"Pada seneng ya semua harga bakal pada ikut naik krena terdampak kenaikan ppn?? Smentara Ppn 3th lalu sudah di naikkan dr 10% ke 11% dampaknya mirip kyk kenaikan BBM efek domino nya kemana² nantinya semua barang pd ikutan naik, udh berasa kebutuhan pokok Harga nya udh pd naik",neng semua harga bakal ikut naik krena dampak naik ppn smentara ppn 3th lalu di naik dr 10 11 dampak mirip kayak naik bbm efek domino nya mana nanti semua barang pd ikut naik udah asa butuh pokok harga nya udah pd naik,
sujana931,2025-01-01 11:34:01,sebenernya sama aja naikin ppn=bbm,sebenernya sama aja naikin ppn bbm,
ardiardi9017,2025-01-01 11:34:01,berak kena ppn jg,berak kena ppn jg,
saintxiao1,2025-01-01 11:34:01,tpi kan cimeng nggak Ken PPN..😂😂😂😂,tpi kan ganja ken ppn,
wyldbuilt,2025-01-01 11:34:01,"sedikit meluruskan bang, PPN lebih tepatnya dibebankan ke konsumen akhir bang.. karena di setiap proses dari pabrik sampai konsumen akhir itu PPN Pajak Keluaran dikurangi PPN Pajak Masukannya..",sedikit lurus bang ppn lebih tepat beban konsumen akhir bang di proses pabrik konsumen akhir ppn pajak keluar rang ppn pajak masuk,
indranajid,2025-01-01 11:34:01,"tp di area ruko"" kok ada tulisan free PPN ya bang,, aneh ga?",tp area ruko kok tulis free ppn bang aneh ga,
rizki.prtmaaa,2025-01-01 11:34:01,ppn naik 12% bahkan kantin sklh pun skrg kena pajak juga🤣,ppn naik 12 bahkan kantin sklh skrg kena pajak,
sung162899,2025-01-01 11:34:01,rambut ga kena PPN bro..hahahaha😂,rambut tidak kena ppn saudara laki hahahaha,
prastayo_16,2025-01-01 11:34:01,acara stand up panji kena ppn 🗿,acara stand up panji kena ppn,
clan_hidungjambu,2025-01-01 11:34:01,ppn naik + keran impor deras .....uda selesai ekonimi indo,ppn naik keran impor deras udah selesai ekonimi indo,
kirikore,2025-01-01 11:34:01,Rakyat mengira ppn itu kena cuma 1x padahal ada sistem hulu ke hilir,rakyat ira ppn kena cuma 1x padahal sistem hulu hilir,
lukman_kotto,2025-01-01 11:34:01,"semuanya, mesin rusak beli spare part kena ppn juga.",semua mesin rusak beli spare part kena ppn,
modeldangaya,2025-01-01 11:34:01,"ppn 12 ℅mm kalau kita punya emas satu kg, lalu emas itu di jual terus sampai 9 x ganti pemilik, artinya udah 100 % pemerintah cuan dari tuh emas, tanpa modal cuan cuan cuan😁😁",ppn 12 mm kalau punya emas satu kilogram lalu emas di jual terus 9 x ganti milik arti udah 100 perintah cuan tuh emas modal cuan cuan cuan,
andaranovel,2025-01-01 11:34:01,tolak ppn 12%,tolak ppn 12,
anna_edelweis929,2025-01-01 11:34:01,g punya duit mau makan mie instan aja kena ppn,g punya duit mau makan mie instan aja kena ppn,
vjindra6,2025-01-01 11:34:01,pabrik pun kena ppn kalo omzet diatas 4.8M,pabrik kena ppn kalau omzet atas 4 8m,
cases201,2025-01-01 11:34:01,bang lo gak komen di 2021 dlu waktu undang2 2021 soal ppn mau di sahkan?,bang kamu tidak komen 2021 dulu waktu undang2 2021 soal ppn mau sahkan,
kesayangan.marsha,2025-01-01 11:34:01,klo d amerika juga kena ppn? spil donk ppn d amerika brpa?,klo amerika kena ppn spil donk ppn amerika brpa,
sunarko691,2025-01-01 11:34:01,"PPN naik lsg kena brg konsumsi dan kebutuhan sehari-hari. Rakyat jelata paling menderita, krn sebagian besar pendapatan utk kebutuhan konsumsi. Kalau dpt ibu Ani yg punya rumah di Amrik dan gaji tinggi. Maka konsumsi hanya sepersekian persen dr pendapatnya. Maka bagi dia tidak pengaruh kenaikan PPN",ppn naik lsg kena bareng konsumsi butuh hari hari rakyat jelata paling derita krn bagi besar dapat utk butuh konsumsi kalau ibu ani punya rumah amrik gaji tinggi konsumsi sekian persen dr dapat bagi tidak pengaruh naik ppn,
ayatulnafs,2025-01-01 11:34:01,coba lihat hitungannya @jeromepolin98 tentang kenaikan PPN 12%,coba lihat hitung naik ppn 12,
madumanna,2025-01-01 11:34:01,"PPN turun naikin PPH, subsidi hilangkan,gaji naikan jadi 10juta,yg pengangguran kasih uang bulanan 5juta,ini yg saya tangkap kemauan org indo dari seluruh komentar",ppn turun naikin pajak_penghasilan subsidi hilang gaji naik jadi 10juta anggur kasih uang bulan 5juta yang tangkap mau org indo seluruh komentar,
masrudof,2025-01-01 11:34:01,"jadi,,, kl dukungnya karena Perut (makan gratis) sdh pasti nanti disuruh bayar tanpa kita sadari, dan terbukti ppn 12% dan 66%",jadi kl dukung perut makan gratis sdh nanti suruh bayar kita sadar bukti ppn 12 66,
nbsrz,2025-01-01 11:34:01,"PPN 12% di sahkan 2021 Semua partai 01 02 03 menerima, Yg nolak cuma PKS, itupun PKS udah gabung Koalisi pemerintahan, yg secara gak langsung menerimanya skrg, Bahkan yg ketok palu wakil nya anies di pilpres, Sudah 3 tahun kenapa baru protes? Lucu lagi yg protes yg setuju waktu itu 😅, seorang panji aja bisa lupa kalau PPN sudah 3 tahun lalu, dan dia baru bahas skrg 😂",ppn 12 sahkan 2021 semua partai 01 02 03 terima nolak cuma pks itu pks udah gabung koalisi perintah cara tidak langsung terima skrg bahkan ketok palu wakil nya anies pilpres 3 tahun baru protes lucu protes yang tuju waktu orang panji aja lupa kalau ppn 3 tahun lalu dia baru bahas skrg,
ofiecobain,2025-01-01 11:34:01,"Tanya dong, apakah proses itu dari dulu tidak kena PPN ??? Kok baru aj dipermasalahkan semenjak ad berita PPN 12%",tanya dong proses dari dulu kena ppn kok baru masalah semenjak berita ppn 12,
penjaga_hati82,2025-01-01 11:34:01,naik nya loh 1% PPN yg lama itu 11%....waktu 11% gada ribut...aneh negri konoha...Klk loe ma wajar kena 12% loe kaya bg....Apa abg mau menghindari PPN ya 🤣🤣,naik nya loh 1 ppn lama 11 waktu 11 gada ribut aneh negri konoha klk loe ma wajar kena 12 loe kaya abang apa abg mau hindar ppn,
khaaa_1212,2025-01-01 11:34:01,"Ngelawak aja panji lah, puyeng🫠, PPN 12% setau aing kan outputnya buat masyarakat yg lain juga, kan ppn itu buat barang mewah sama premium🙄",ngelawak aja panji lah puyeng ppn 12 tau aing kan outputnya buat masyarakat lain kan ppn buat barang mewah sama premium,
.entitas_tidakdikenal,2025-01-01 11:34:01,"UDAH GAK USAH MIKIR PANJANG LEBAR TOLAK PPN 12%,",udah tidak usah mikir panjang lebar tolak ppn 12,
itsyournello,2025-01-01 11:34:01,semua lapisan transaksi yg sudah berjalan itu real kena. ga usah ppn dulu deh. BBM naik aja langsung ngefek. kurir.ojek pake BBM. truck pake BBM. makanya pake WhatsApp,semua lapis transaksi sudah jalan real kena tidak usah ppn dulu deh bbm naik aja langsung ngefek kurir ojek pake bbm truck pake bbm makanya pake whatsapp,
takdirbaik2025,2025-01-01 11:34:01,"gw ga stuju ppn 12℅ tapi argumen lu salah bro, sebener nya yang nanggung ppn 12% itu customer akhir bro",tidak stuju ppn 12 argumen lu salah saudara laki sebener nya nanggung ppn 12 customer akhir saudara laki,
cpt.lock,2025-01-01 11:34:01,makin curiga...tar klo order Òpen Bò juga kena PPN 12%,makin curiga tar klo order pen b kena ppn 12,
bukansiapasiapa8999,2025-01-01 11:34:01,"walau barang mewah yang naik, tingkat korupsi akan naik. mereka sih enak bisa korupsi, masyarakat indonesia yg miskin terancam ga bisa hidup, ga bs pke listrik krna pulsa listrik mahal. paling bagus ppn itu cukup 10 % saja, klo bisa dibawah 10%. Takutlah akan Tuhan.saya bicara sebagai orang yang berpikir, netral, tidak memihak.walau ppn 3500 va yg dibilang kena pajak 12% , tp biaya operasional pln jg akn meningkat, dan pulsa listrik jg semuanya naik. daya beli masyarakat turun. phk akan meningkat. korupsi akan meningkat. korupsi pajak oleh perusahaan akn meningkat. orang kerja nanti makin sikut menyikut. kejahatan bertambah.",barang mewah naik tingkat korupsi naik sih enak korupsi masyarakat indonesia miskin ancam tidak bisa hidup tidak bisa pke listrik krna pulsa listrik mahal paling bagus ppn cukup 10 klo bawah 10 takut tuhan bicara orang pikir netral pihak ppn 3500 va bilang kena pajak 12 tp biaya operasional pln jg akn tingkat pulsa listrik jg semua naik daya beli masyarakat turun phk tingkat korupsi tingkat korupsi pajak usaha akn tingkat orang kerja makin sikut sikut jahat tambah,
eddytan33,2025-01-01 11:34:01,Uda PPN..trus pajak pribadi..pajak perusahaan..masih aja ngeluh kurang duit.. sebenrnaya duit pajaknya selama ni kemana..kok kurang trs,udah ppn trus pajak pribadi pajak usaha aja ngeluh kurang duit sebenrnaya duit pajak lama ni kok kurang terus,
ajibahriyanpeyuyo,2025-01-01 11:34:01,bbm itu gk kena ppn nji panjiiiii...,bbm tidak kena ppn nji panjiiiii,
imamubd,2025-01-01 11:34:01,"Setuju! barang emg ga kena, tp proses menuju itu yg dibuat kena ampe transaksi pake kris dikenai ppn12. Kocag.",tuju barang emg tidak kena tp proses tuju yang buat kena ampe transaksi pake kris kena ppn12 kocag,
n0v3mb33,2025-01-01 11:34:01,"akibat proyek ambisius tnpa memikirkan kekuatan cadangan negara, imbas nya apa kebijakan yg cepat adalah menaikan PPN, menambahi pajak opsen BBN KB dan opsen PKB, dan itu berbarengan di naikan di awal thn, multi player efek akibat nya bisa kenaikan di semua sektor, harus dibuat keputusan jangan saat ekonomi mu berlebih tp buatlah keputusan di posisinya rakyat yg Ekonomi nya blum stabil",akibat proyek ambisius tnpa pikir kuat cadang negara imbas nya apa kebijakan cepat naik ppn tambah pajak opsen bbn kb opsen pkb itu bareng naik awal thn multi player efek akibat nya naik semua sektor buat putus jangan ekonomi mu lebih tp buat putus posisi rakyat ekonomi nya stabil,
armanapic,2025-01-01 11:34:01,"klo mau gaji guru honorer sama perawat cuma 600rb, tolak aja kenaikan ppn. di ajak maju malah nolak, giliran ngga maju salahkan pemerintah.",klo mau gaji guru honorer sama awat cuma 600rb tolak aja naik ppn ajak maju malah nolak gilir tidak maju salah perintah,
pastiseru_,2025-01-01 11:34:01,Inti permasalahan kenapa PPN naik adalah??? Jo ko wi yg telah serampangan menggunakan anggaran sehingga apbn jebol dan utang menggunung!!!,inti masalah ppn naik jo ko wi telah serampang guna anggaran apbn jebol utang gunung,
dvd.prdn,2025-01-01 11:34:01,"bang UMR salah satu terendah didunia tp PPN diatas Singapore, Canada butuh duitt nih Konoha. ngapain ambisius bangun IKN kalo g punya duitt kekk manaa😏",bang umr salah satu rendah dunia tp ppn atas singapore canada butuh duitt nih konoha ngapain ambisius bangun ikn kalau g punya duitt kekk manaa,
artinsidestudio1,2025-01-01 11:34:01,"Hanya sekedar argumen saya saja bang panji,ppn naik 12% jika pemanfaatanya tepat guna dan tepat sasaran sepertinya lebih baik dari pada ppn rendah tetapi selalu di grogoti oleh oknum-oknum pemerintahan,lagi pula selama ini kita selalu kengkritik tanpa tindakan mungkin pemerintan sedang menchallange masyarakat untuk ikut serta dalam memperbaiki negara yang sudah babak belur di hajar pemerintahan sebelumnya ini. jika lingkungan sekitar kita kotor apakah bijak untuk mencemo'oh saja,apakah tidak lebih baik bergotong royong sama sama membersihkan begitulah analoginya.🙏🙏🙏",dar argumen saja bang panji ppn naik 12 pemanfaatanya tepat dan tepat sasar seperti lebih baik pada ppn rendah selalu grogoti oknum oknum perintah pula lama kita selalu kengkritik tindak mungkin intan sedang menchallange masyarakat ikut dalam baik negara sudah babak bur hajar perintah belum jika lingkung kita kotor kebijakan mencemo saja tidak lebih baik gotong royong sama sama bersih begitu analogi,
muhdtaufik4966,2025-01-01 11:34:01,gue dukung PPN 12% 😁,gue dukung ppn 12,
